id,area_id,outliner_name,outline_filename,taxon1,taxon2,touch_type,length,flag,notes,created_at,updated_at,touch_number,growth_form
6,1,josh,AC030_F3_T1_C_erin.cp,Acropora,"",Overtopping,10.9071117624664,,"I think my calculation of touch length is an overestimate, because it just tallies the number of pixels x the scale factor... I'll need to look into this","2012-08-13 04:26:14.117938","2012-08-16 22:43:53.982746",1,Branching
7,1,josh,AC030_F3_T1_C_erin.cp,Favid,"","Mutual digestion",20.3377149457344,,"I wasn't sure how to label the contact type here.  Would this just be ""standoff"" or something?","2012-08-13 04:26:35.167098","2012-08-16 22:42:36.555724",2,Massive
8,1,josh,AC030_F3_T1_C_erin.cp,"""Isopora""","",Overtopping,4.23900850156993,,"","2012-08-13 04:27:00.596950","2012-08-16 21:49:03.499000",3,Cuneiform
18,1786,mariana,AC030_F4_T_A_C_3_mizue.cp,Acropora,"",Overtopped,,,"","2012-08-31 04:46:01.108175","2012-08-31 04:46:01.108175",1,Branching
19,1786,mariana,AC030_F4_T_A_C_3_mizue.cp,Favid,"",Digested,,,"","2012-08-31 04:47:05.904490","2012-08-31 04:47:05.904490",2,Massive
20,1786,mariana,AC030_F4_T_A_C_3_mizue.cp,"""Isopora""","",Overtopped,,,"","2012-08-31 04:48:48.201857","2012-08-31 04:48:48.201857",3,Cuneiform
21,1786,mariana,AC030_F4_T_A_C_3_mizue.cp,Uncertain,"",Overtopping,,,"","2012-08-31 04:49:29.655455","2012-08-31 04:49:29.655455",4,Uncertain
22,1786,mariana,AC030_F4_T_A_C_3_mizue.cp,"""Isopora""","",Overtopping,,,"","2012-08-31 04:50:34.254852","2012-08-31 04:50:34.254852",5,Cuneiform
23,1786,mariana,AC030_F4_T_A_C_3_mizue.cp,Pocilloporid,"",Overtopping,,,"","2012-08-31 04:52:52.799516","2012-08-31 04:52:52.799516",6,Branching
24,1786,mariana,AC030_F4_T_A_C_3_mizue.cp,Favid,"",Overtopping,,,"","2012-08-31 04:54:40.069088","2012-08-31 04:54:40.069088",7,Encrusting
25,2159,Theo,AD829_F3_T_C_mizue.cp,Acropora,"",Overtopping,,,"","2012-08-31 05:16:29.938888","2012-08-31 05:16:29.938888",1,Digitate
26,2159,Theo,AD829_F3_T_C_mizue.cp,"Soft coral","",Overtopping,,,"","2012-08-31 05:18:39.190001","2014-04-01 00:35:33.703460",2,Encrusting
27,2159,Theo,AD829_F3_T_C_mizue.cp,Acropora,"",Overtopping,,,"","2012-08-31 05:21:15.981282","2012-08-31 05:21:15.981282",3,Tabular
28,2159,Theo,AD829_F3_T_C_mizue.cp,"Soft coral","",Overtopping,,,"","2012-08-31 05:22:56.786767","2014-04-01 00:35:52.871316",4,Encrusting
29,2159,Theo,AD829_F3_T_C_mizue.cp,Acropora,"",Overtopping,,,"","2012-08-31 05:25:41.820517","2012-10-04 06:23:13.463301",5,Digitate
30,2159,Theo,AD829_F3_T_C_mizue.cp,Acropora,"",Overtopping,,,"","2012-08-31 05:26:58.024396","2012-10-04 06:23:26.291386",6,Branching
36,1781,Theo,AC030_F3_T1_C_1_mizue.cp,Acropora,"",Overtopped,,,"","2012-09-04 03:35:52.950387","2012-09-04 03:35:52.950387",1,Branching
37,1781,Theo,AC030_F3_T1_C_1_mizue.cp,Favid,"",Digested,,,"","2012-09-04 03:36:28.811365","2012-09-04 03:36:28.811365",2,Massive
38,1781,Theo,AC030_F3_T1_C_1_mizue.cp,"""Isopora""","",Overtopped,,,"","2012-09-04 03:37:03.046046","2012-09-04 03:37:03.046046",3,Cuneiform
39,4,Theo,AC030_F4_T2_D_C_erin.cp,Acropora,"",Overtopped,,,"","2012-09-04 03:44:45.440122","2012-09-04 03:44:45.440122",1,Branching
40,4,Theo,AC030_F4_T2_D_C_erin.cp,Favid,"",Digested,,,"","2012-09-04 03:45:08.706046","2012-09-04 03:45:08.706046",2,Massive
41,4,Theo,AC030_F4_T2_D_C_erin.cp,"""Isopora""","",Overtopped,,,"","2012-09-04 03:45:29.144501","2012-09-04 03:45:29.144501",3,Cuneiform
42,4,Theo,AC030_F4_T2_D_C_erin.cp,Acropora,"",Overtopping,,,"could be part of same colony","2012-09-04 03:47:54.396171","2012-09-04 03:47:54.396171",4,Branching
43,4,Theo,AC030_F4_T2_D_C_erin.cp,Favid,"",Overtopping,,,"","2012-09-04 03:49:53.650168","2012-09-04 03:49:53.650168",5,Massive
